5001  0.0100000000	
0	0
0.01	0.100266587
0.02	0.19895191
0.03	0.294499642
0.04	0.385402939
0.05	0.470228202
0.06	0.547637685
0.07	0.616410594
0.08	0.67546234
0.09	0.723861642
0.1	0.760845213
0.11	0.785829801
0.12	0.798421383
0.13	0.798421383
0.14	0.785829801
0.15	0.760845213
0.16	0.723861642
0.17	0.67546234
0.18	0.616410594
0.19	0.547637685
0.2	0.470228202
0.21	0.385402939
0.22	0.294499642
0.23	0.19895191
0.24	0.100266587
0.25	9.80119E-17
0.26	-0.100266587
0.27	-0.19895191
0.28	-0.294499642
0.29	-0.385402939
0.3	-0.470228202
0.31	-0.547637685
0.32	-0.616410594
0.33	-0.67546234
0.34	-0.723861642
0.35	-0.760845213
0.36	-0.785829801
0.37	-0.798421383
0.38	-0.798421383
0.39	-0.785829801
0.4	-0.760845213
0.41	-0.723861642
0.42	-0.67546234
0.43	-0.616410594
0.44	-0.547637685
0.45	-0.470228202
0.46	-0.385402939
0.47	-0.294499642
0.48	-0.19895191
0.49	-0.100266587
0.5	-1.96024E-16
0.51	0.100266587
0.52	0.19895191
0.53	0.294499642
0.54	0.385402939
0.55	0.470228202
0.56	0.547637685
0.57	0.616410594
0.58	0.67546234
0.59	0.723861642
0.6	0.760845213
0.61	0.785829801
0.62	0.798421383
0.63	0.798421383
0.64	0.785829801
0.65	0.760845213
0.66	0.723861642
0.67	0.67546234
0.68	0.616410594
0.69	0.547637685
0.7	0.470228202
0.71	0.385402939
0.72	0.294499642
0.73	0.19895191
0.74	0.100266587
0.75	2.94036E-16
0.76	-0.100266587
0.77	-0.19895191
0.78	-0.294499642
0.79	-0.385402939
0.8	-0.470228202
0.81	-0.547637685
0.82	-0.616410594
0.83	-0.67546234
0.84	-0.723861642
0.85	-0.760845213
0.86	-0.785829801
0.87	-0.798421383
0.88	-0.798421383
0.89	-0.785829801
0.9	-0.760845213
0.91	-0.723861642
0.92	-0.67546234
0.93	-0.616410594
0.94	-0.547637685
0.95	-0.470228202
0.96	-0.385402939
0.97	-0.294499642
0.98	-0.19895191
0.99	-0.100266587
1	-3.92048E-16
1.01	0.100266587
1.02	0.19895191
1.03	0.294499642
1.04	0.385402939
1.05	0.470228202
1.06	0.547637685
1.07	0.616410594
1.08	0.67546234
1.09	0.723861642
1.1	0.760845213
1.11	0.785829801
1.12	0.798421383
1.13	0.798421383
1.14	0.785829801
1.15	0.760845213
1.16	0.723861642
1.17	0.67546234
1.18	0.616410594
1.19	0.547637685
1.2	0.470228202
1.21	0.385402939
1.22	0.294499642
1.23	0.19895191
1.24	0.100266587
1.25	4.90059E-16
1.26	-0.100266587
1.27	-0.19895191
1.28	-0.294499642
1.29	-0.385402939
1.3	-0.470228202
1.31	-0.547637685
1.32	-0.616410594
1.33	-0.67546234
1.34	-0.723861642
1.35	-0.760845213
1.36	-0.785829801
1.37	-0.798421383
1.38	-0.798421383
1.39	-0.785829801
1.4	-0.760845213
1.41	-0.723861642
1.42	-0.67546234
1.43	-0.616410594
1.44	-0.547637685
1.45	-0.470228202
1.46	-0.385402939
1.47	-0.294499642
1.48	-0.19895191
1.49	-0.100266587
1.5	-5.88071E-16
1.51	0.100266587
1.52	0.19895191
1.53	0.294499642
1.54	0.385402939
1.55	0.470228202
1.56	0.547637685
1.57	0.616410594
1.58	0.67546234
1.59	0.723861642
1.6	0.760845213
1.61	0.785829801
1.62	0.798421383
1.63	0.798421383
1.64	0.785829801
1.65	0.760845213
1.66	0.723861642
1.67	0.67546234
1.68	0.616410594
1.69	0.547637685
1.7	0.470228202
1.71	0.385402939
1.72	0.294499642
1.73	0.19895191
1.74	0.100266587
1.75	6.86083E-16
1.76	-0.100266587
1.77	-0.19895191
1.78	-0.294499642
1.79	-0.385402939
1.8	-0.470228202
1.81	-0.547637685
1.82	-0.616410594
1.83	-0.67546234
1.84	-0.723861642
1.85	-0.760845213
1.86	-0.785829801
1.87	-0.798421383
1.88	-0.798421383
1.89	-0.785829801
1.9	-0.760845213
1.91	-0.723861642
1.92	-0.67546234
1.93	-0.616410594
1.94	-0.547637685
1.95	-0.470228202
1.96	-0.385402939
1.97	-0.294499642
1.98	-0.19895191
1.99	-0.100266587
2	-7.84095E-16
2.01	0.100266587
2.02	0.19895191
2.03	0.294499642
2.04	0.385402939
2.05	0.470228202
2.06	0.547637685
2.07	0.616410594
2.08	0.67546234
2.09	0.723861642
2.1	0.760845213
2.11	0.785829801
2.12	0.798421383
2.13	0.798421383
2.14	0.785829801
2.15	0.760845213
2.16	0.723861642
2.17	0.67546234
2.18	0.616410594
2.19	0.547637685
2.2	0.470228202
2.21	0.385402939
2.22	0.294499642
2.23	0.19895191
2.24	0.100266587
2.25	8.82107E-16
2.26	-0.100266587
2.27	-0.19895191
2.28	-0.294499642
2.29	-0.385402939
2.3	-0.470228202
2.31	-0.547637685
2.32	-0.616410594
2.33	-0.67546234
2.34	-0.723861642
2.35	-0.760845213
2.36	-0.785829801
2.37	-0.798421383
2.38	-0.798421383
2.39	-0.785829801
2.4	-0.760845213
2.41	-0.723861642
2.42	-0.67546234
2.43	-0.616410594
2.44	-0.547637685
2.45	-0.470228202
2.46	-0.385402939
2.47	-0.294499642
2.48	-0.19895191
2.49	-0.100266587
2.5	-9.80119E-16
2.51	0.100266587
2.52	0.19895191
2.53	0.294499642
2.54	0.385402939
2.55	0.470228202
2.56	0.547637685
2.57	0.616410594
2.58	0.67546234
2.59	0.723861642
2.6	0.760845213
2.61	0.785829801
2.62	0.798421383
2.63	0.798421383
2.64	0.785829801
2.65	0.760845213
2.66	0.723861642
2.67	0.67546234
2.68	0.616410594
2.69	0.547637685
2.7	0.470228202
2.71	0.385402939
2.72	0.294499642
2.73	0.19895191
2.74	0.100266587
2.75	3.9203E-15
2.76	-0.100266587
2.77	-0.19895191
2.78	-0.294499642
2.79	-0.385402939
2.8	-0.470228202
2.81	-0.547637685
2.82	-0.616410594
2.83	-0.67546234
2.84	-0.723861642
2.85	-0.760845213
2.86	-0.785829801
2.87	-0.798421383
2.88	-0.798421383
2.89	-0.785829801
2.9	-0.760845213
2.91	-0.723861642
2.92	-0.67546234
2.93	-0.616410594
2.94	-0.547637685
2.95	-0.470228202
2.96	-0.385402939
2.97	-0.294499642
2.98	-0.19895191
2.99	-0.100266587
3	-1.17614E-15
3.01	0.100266587
3.02	0.19895191
3.03	0.294499642
3.04	0.385402939
3.05	0.470228202
3.06	0.547637685
3.07	0.616410594
3.08	0.67546234
3.09	0.723861642
3.1	0.760845213
3.11	0.785829801
3.12	0.798421383
3.13	0.798421383
3.14	0.785829801
3.15	0.760845213
3.16	0.723861642
3.17	0.67546234
3.18	0.616410594
3.19	0.547637685
3.2	0.470228202
3.21	0.385402939
3.22	0.294499642
3.23	0.19895191
3.24	0.100266587
