5001  0.0100000000	
0	0
0.01	0.247213595
0.02	0.470228202
0.03	0.647213595
0.04	0.760845213
0.05	0.8
0.06	0.760845213
0.07	0.647213595
0.08	0.470228202
0.09	0.247213595
0.1	9.80119E-17
0.11	-0.247213595
0.12	-0.470228202
0.13	-0.647213595
0.14	-0.760845213
0.15	-0.8
0.16	-0.760845213
0.17	-0.647213595
0.18	-0.470228202
0.19	-0.247213595
0.2	-1.96024E-16
0.21	0.247213595
0.22	0.470228202
0.23	0.647213595
0.24	0.760845213
0.25	0.8
0.26	0.760845213
0.27	0.647213595
0.28	0.470228202
0.29	0.247213595
0.3	2.94036E-16
0.31	-0.247213595
0.32	-0.470228202
0.33	-0.647213595
0.34	-0.760845213
0.35	-0.8
0.36	-0.760845213
0.37	-0.647213595
0.38	-0.470228202
0.39	-0.247213595
0.4	-3.92048E-16
0.41	0.247213595
0.42	0.470228202
0.43	0.647213595
0.44	0.760845213
0.45	0.8
0.46	0.760845213
0.47	0.647213595
0.48	0.470228202
0.49	0.247213595
0.5	4.90059E-16
0.51	-0.247213595
0.52	-0.470228202
0.53	-0.647213595
0.54	-0.760845213
0.55	-0.8
0.56	-0.760845213
0.57	-0.647213595
0.58	-0.470228202
0.59	-0.247213595
0.6	-5.88071E-16
0.61	0.247213595
0.62	0.470228202
0.63	0.647213595
0.64	0.760845213
0.65	0.8
0.66	0.760845213
0.67	0.647213595
0.68	0.470228202
0.69	0.247213595
0.7	6.86083E-16
0.71	-0.247213595
0.72	-0.470228202
0.73	-0.647213595
0.74	-0.760845213
0.75	-0.8
0.76	-0.760845213
0.77	-0.647213595
0.78	-0.470228202
0.79	-0.247213595
0.8	-7.84095E-16
0.81	0.247213595
0.82	0.470228202
0.83	0.647213595
0.84	0.760845213
0.85	0.8
0.86	0.760845213
0.87	0.647213595
0.88	0.470228202
0.89	0.247213595
0.9	8.82107E-16
0.91	-0.247213595
0.92	-0.470228202
0.93	-0.647213595
0.94	-0.760845213
0.95	-0.8
0.96	-0.760845213
0.97	-0.647213595
0.98	-0.470228202
0.99	-0.247213595
1	-9.80119E-16
1.01	0.247213595
1.02	0.470228202
1.03	0.647213595
1.04	0.760845213
1.05	0.8
1.06	0.760845213
1.07	0.647213595
1.08	0.470228202
1.09	0.247213595
1.1	-1.76404E-15
1.11	-0.247213595
1.12	-0.470228202
1.13	-0.647213595
1.14	-0.760845213
1.15	-0.8
1.16	-0.760845213
1.17	-0.647213595
1.18	-0.470228202
1.19	-0.247213595
1.2	-1.17614E-15
1.21	0.247213595
1.22	0.470228202
1.23	0.647213595
1.24	0.760845213
