5001  0.0100000000	
0	0
0.01	0.010052832
0.02	0.020104076
0.03	0.030152146
0.04	0.040195455
0.05	0.050232416
0.06	0.060261444
0.07	0.070280957
0.08	0.080289372
0.09	0.090285108
0.1	0.100266587
0.11	0.110232233
0.12	0.120180471
0.13	0.130109732
0.14	0.140018447
0.15	0.149905052
0.16	0.159767984
0.17	0.169605688
0.18	0.179416609
0.19	0.189199198
0.2	0.19895191
0.21	0.208673205
0.22	0.218361548
0.23	0.22801541
0.24	0.237633265
0.25	0.247213595
0.26	0.256754888
0.27	0.266255636
0.28	0.275714339
0.29	0.285129503
0.3	0.294499642
0.31	0.303823276
0.32	0.313098933
0.33	0.322325149
0.34	0.331500465
0.35	0.340623433
0.36	0.349692613
0.37	0.358706573
0.38	0.367663888
0.39	0.376563146
0.4	0.385402939
0.41	0.394181873
0.42	0.402898561
0.43	0.411551627
0.44	0.420139704
0.45	0.428661436
0.46	0.437115477
0.47	0.445500493
0.48	0.453815159
0.49	0.462058163
0.5	0.470228202
0.51	0.478323986
0.52	0.486344238
0.53	0.49428769
0.54	0.502153089
0.55	0.509939192
0.56	0.517644769
0.57	0.525268605
0.58	0.532809494
0.59	0.540266246
0.6	0.547637685
0.61	0.554922645
0.62	0.562119976
0.63	0.569228542
0.64	0.57624722
0.65	0.583174902
0.66	0.590010494
0.67	0.596752916
0.68	0.603401105
0.69	0.609954009
0.7	0.616410594
0.71	0.622769841
0.72	0.629030746
0.73	0.635192319
0.74	0.641253588
0.75	0.647213595
0.76	0.653071401
0.77	0.658826078
0.78	0.664476719
0.79	0.670022432
0.8	0.67546234
0.81	0.680795585
0.82	0.686021325
0.83	0.691138734
0.84	0.696147004
0.85	0.701045344
0.86	0.705832981
0.87	0.710509159
0.88	0.715073139
0.89	0.719524201
0.9	0.723861642
0.91	0.728084777
0.92	0.732192938
0.93	0.736185478
0.94	0.740061765
0.95	0.743821189
0.96	0.747463154
0.97	0.750987086
0.98	0.754392429
0.99	0.757678644
1	0.760845213
1.01	0.763891636
1.02	0.766817431
1.03	0.769622137
1.04	0.772305311
1.05	0.774866529
1.06	0.777305386
1.07	0.779621498
1.08	0.781814499
1.09	0.783884042
1.1	0.785829801
1.11	0.787651468
1.12	0.789348755
1.13	0.790921396
1.14	0.792369141
1.15	0.793691761
1.16	0.794889048
1.17	0.795960814
1.18	0.796906887
1.19	0.79772712
1.2	0.798421383
1.21	0.798989565
1.22	0.799431578
1.23	0.799747351
1.24	0.799936835
1.25	0.8
1.26	0.799936835
1.27	0.799747351
1.28	0.799431578
1.29	0.798989565
1.3	0.798421383
1.31	0.79772712
1.32	0.796906887
1.33	0.795960814
1.34	0.794889048
1.35	0.793691761
1.36	0.792369141
1.37	0.790921396
1.38	0.789348755
1.39	0.787651468
1.4	0.785829801
1.41	0.783884042
1.42	0.781814499
1.43	0.779621498
1.44	0.777305386
1.45	0.774866529
1.46	0.772305311
1.47	0.769622137
1.48	0.766817431
1.49	0.763891636
1.5	0.760845213
1.51	0.757678644
1.52	0.754392429
1.53	0.750987086
1.54	0.747463154
1.55	0.743821189
1.56	0.740061765
1.57	0.736185478
1.58	0.732192938
1.59	0.728084777
1.6	0.723861642
1.61	0.719524201
1.62	0.715073139
1.63	0.710509159
1.64	0.705832981
1.65	0.701045344
1.66	0.696147004
1.67	0.691138734
1.68	0.686021325
1.69	0.680795585
1.7	0.67546234
1.71	0.670022432
1.72	0.664476719
1.73	0.658826078
1.74	0.653071401
1.75	0.647213595
1.76	0.641253588
1.77	0.635192319
1.78	0.629030746
1.79	0.622769841
1.8	0.616410594
