5001  0.0100000000	
0	0
0.01	0.050232416
0.02	0.100266587
0.03	0.149905052
0.04	0.19895191
0.05	0.247213595
0.06	0.294499642
0.07	0.340623433
0.08	0.385402939
0.09	0.428661436
0.1	0.470228202
0.11	0.509939192
0.12	0.547637685
0.13	0.583174902
0.14	0.616410594
0.15	0.647213595
0.16	0.67546234
0.17	0.701045344
0.18	0.723861642
0.19	0.743821189
0.2	0.760845213
0.21	0.774866529
0.22	0.785829801
0.23	0.793691761
0.24	0.798421383
0.25	0.8
0.26	0.798421383
0.27	0.793691761
0.28	0.785829801
0.29	0.774866529
0.3	0.760845213
0.31	0.743821189
0.32	0.723861642
0.33	0.701045344
0.34	0.67546234
0.35	0.647213595
0.36	0.616410594
0.37	0.583174902
0.38	0.547637685
0.39	0.509939192
0.4	0.470228202
0.41	0.428661436
0.42	0.385402939
0.43	0.340623433
0.44	0.294499642
0.45	0.247213595
0.46	0.19895191
0.47	0.149905052
0.48	0.100266587
0.49	0.050232416
0.5	9.80119E-17
0.51	-0.050232416
0.52	-0.100266587
0.53	-0.149905052
0.54	-0.19895191
0.55	-0.247213595
0.56	-0.294499642
0.57	-0.340623433
0.58	-0.385402939
0.59	-0.428661436
0.6	-0.470228202
0.61	-0.509939192
0.62	-0.547637685
0.63	-0.583174902
0.64	-0.616410594
0.65	-0.647213595
0.66	-0.67546234
0.67	-0.701045344
0.68	-0.723861642
0.69	-0.743821189
0.7	-0.760845213
0.71	-0.774866529
0.72	-0.785829801
0.73	-0.793691761
0.74	-0.798421383
0.75	-0.8
0.76	-0.798421383
0.77	-0.793691761
0.78	-0.785829801
0.79	-0.774866529
0.8	-0.760845213
0.81	-0.743821189
0.82	-0.723861642
0.83	-0.701045344
0.84	-0.67546234
0.85	-0.647213595
0.86	-0.616410594
0.87	-0.583174902
0.88	-0.547637685
0.89	-0.509939192
0.9	-0.470228202
0.91	-0.428661436
0.92	-0.385402939
0.93	-0.340623433
0.94	-0.294499642
0.95	-0.247213595
0.96	-0.19895191
0.97	-0.149905052
0.98	-0.100266587
0.99	-0.050232416
1	-1.96024E-16
1.01	0.050232416
1.02	0.100266587
1.03	0.149905052
1.04	0.19895191
1.05	0.247213595
1.06	0.294499642
1.07	0.340623433
1.08	0.385402939
1.09	0.428661436
1.1	0.470228202
1.11	0.509939192
1.12	0.547637685
1.13	0.583174902
1.14	0.616410594
1.15	0.647213595
1.16	0.67546234
1.17	0.701045344
1.18	0.723861642
1.19	0.743821189
1.2	0.760845213
1.21	0.774866529
1.22	0.785829801
1.23	0.793691761
1.24	0.798421383
1.25	0.8
1.26	0.798421383
1.27	0.793691761
1.28	0.785829801
1.29	0.774866529
1.3	0.760845213
1.31	0.743821189
1.32	0.723861642
1.33	0.701045344
1.34	0.67546234
1.35	0.647213595
1.36	0.616410594
1.37	0.583174902
1.38	0.547637685
1.39	0.509939192
1.4	0.470228202
1.41	0.428661436
1.42	0.385402939
1.43	0.340623433
1.44	0.294499642
1.45	0.247213595
1.46	0.19895191
1.47	0.149905052
1.48	0.100266587
1.49	0.050232416
1.5	2.94036E-16
1.51	-0.050232416
1.52	-0.100266587
1.53	-0.149905052
1.54	-0.19895191
1.55	-0.247213595
1.56	-0.294499642
1.57	-0.340623433
1.58	-0.385402939
1.59	-0.428661436
1.6	-0.470228202
1.61	-0.509939192
1.62	-0.547637685
1.63	-0.583174902
1.64	-0.616410594
1.65	-0.647213595
1.66	-0.67546234
1.67	-0.701045344
1.68	-0.723861642
1.69	-0.743821189
1.7	-0.760845213
1.71	-0.774866529
1.72	-0.785829801
1.73	-0.793691761
1.74	-0.798421383
1.75	-0.8
1.76	-0.798421383
1.77	-0.793691761
1.78	-0.785829801
1.79	-0.774866529
1.8	-0.760845213
1.81	-0.743821189
1.82	-0.723861642
1.83	-0.701045344
1.84	-0.67546234
1.85	-0.647213595
1.86	-0.616410594
1.87	-0.583174902
1.88	-0.547637685
1.89	-0.509939192
1.9	-0.470228202
1.91	-0.428661436
1.92	-0.385402939
1.93	-0.340623433
1.94	-0.294499642
1.95	-0.247213595
1.96	-0.19895191
1.97	-0.149905052
1.98	-0.100266587
1.99	-0.050232416
2	-3.92048E-16
2.01	0.050232416
2.02	0.100266587
2.03	0.149905052
2.04	0.19895191
2.05	0.247213595
2.06	0.294499642
2.07	0.340623433
2.08	0.385402939
2.09	0.428661436
2.1	0.470228202
2.11	0.509939192
2.12	0.547637685
2.13	0.583174902
2.14	0.616410594
2.15	0.647213595
2.16	0.67546234
2.17	0.701045344
2.18	0.723861642
2.19	0.743821189
2.2	0.760845213
2.21	0.774866529
2.22	0.785829801
2.23	0.793691761
2.24	0.798421383
2.25	0.8
2.26	0.798421383
2.27	0.793691761
2.28	0.785829801
2.29	0.774866529
2.3	0.760845213
2.31	0.743821189
2.32	0.723861642
2.33	0.701045344
2.34	0.67546234
2.35	0.647213595
2.36	0.616410594
2.37	0.583174902
2.38	0.547637685
2.39	0.509939192
2.4	0.470228202
2.41	0.428661436
2.42	0.385402939
2.43	0.340623433
2.44	0.294499642
2.45	0.247213595
2.46	0.19895191
2.47	0.149905052
2.48	0.100266587
2.49	0.050232416
2.5	4.90059E-16
2.51	-0.050232416
2.52	-0.100266587
2.53	-0.149905052
2.54	-0.19895191
2.55	-0.247213595
2.56	-0.294499642
2.57	-0.340623433
2.58	-0.385402939
2.59	-0.428661436
2.6	-0.470228202
2.61	-0.509939192
2.62	-0.547637685
2.63	-0.583174902
2.64	-0.616410594
2.65	-0.647213595
2.66	-0.67546234
2.67	-0.701045344
2.68	-0.723861642
2.69	-0.743821189
2.7	-0.760845213
2.71	-0.774866529
2.72	-0.785829801
2.73	-0.793691761
2.74	-0.798421383
2.75	-0.8
2.76	-0.798421383
2.77	-0.793691761
2.78	-0.785829801
2.79	-0.774866529
2.8	-0.760845213
2.81	-0.743821189
2.82	-0.723861642
2.83	-0.701045344
2.84	-0.67546234
2.85	-0.647213595
2.86	-0.616410594
2.87	-0.583174902
2.88	-0.547637685
2.89	-0.509939192
2.9	-0.470228202
2.91	-0.428661436
2.92	-0.385402939
2.93	-0.340623433
2.94	-0.294499642
2.95	-0.247213595
2.96	-0.19895191
2.97	-0.149905052
2.98	-0.100266587
2.99	-0.050232416
3	-5.88071E-16
3.01	0.050232416
3.02	0.100266587
3.03	0.149905052
3.04	0.19895191
3.05	0.247213595
3.06	0.294499642
3.07	0.340623433
3.08	0.385402939
3.09	0.428661436
3.1	0.470228202
3.11	0.509939192
3.12	0.547637685
3.13	0.583174902
3.14	0.616410594
3.15	0.647213595
3.16	0.67546234
3.17	0.701045344
3.18	0.723861642
3.19	0.743821189
3.2	0.760845213
3.21	0.774866529
3.22	0.785829801
3.23	0.793691761
3.24	0.798421383
3.25	0.8
3.26	0.798421383
3.27	0.793691761
3.28	0.785829801
3.29	0.774866529
3.3	0.760845213
3.31	0.743821189
3.32	0.723861642
3.33	0.701045344
3.34	0.67546234
3.35	0.647213595
3.36	0.616410594
3.37	0.583174902
3.38	0.547637685
3.39	0.509939192
3.4	0.470228202
3.41	0.428661436
3.42	0.385402939
3.43	0.340623433
3.44	0.294499642
3.45	0.247213595
3.46	0.19895191
3.47	0.149905052
3.48	0.100266587
3.49	0.050232416
3.5	6.86083E-16
3.51	-0.050232416
3.52	-0.100266587
3.53	-0.149905052
3.54	-0.19895191
3.55	-0.247213595
3.56	-0.294499642
3.57	-0.340623433
3.58	-0.385402939
3.59	-0.428661436
3.6	-0.470228202
3.61	-0.509939192
3.62	-0.547637685
3.63	-0.583174902
3.64	-0.616410594
3.65	-0.647213595
3.66	-0.67546234
3.67	-0.701045344
3.68	-0.723861642
3.69	-0.743821189
3.7	-0.760845213
3.71	-0.774866529
3.72	-0.785829801
3.73	-0.793691761
3.74	-0.798421383
3.75	-0.8
3.76	-0.798421383
3.77	-0.793691761
3.78	-0.785829801
3.79	-0.774866529
3.8	-0.760845213
3.81	-0.743821189
3.82	-0.723861642
3.83	-0.701045344
3.84	-0.67546234
3.85	-0.647213595
3.86	-0.616410594
3.87	-0.583174902
3.88	-0.547637685
3.89	-0.509939192
3.9	-0.470228202
3.91	-0.428661436
3.92	-0.385402939
3.93	-0.340623433
3.94	-0.294499642
3.95	-0.247213595
3.96	-0.19895191
3.97	-0.149905052
3.98	-0.100266587
3.99	-0.050232416
4	-7.84095E-16
4.01	0.050232416
4.02	0.100266587
4.03	0.149905052
4.04	0.19895191
4.05	0.247213595
4.06	0.294499642
4.07	0.340623433
4.08	0.385402939
4.09	0.428661436
4.1	0.470228202
4.11	0.509939192
4.12	0.547637685
4.13	0.583174902
4.14	0.616410594
4.15	0.647213595
4.16	0.67546234
4.17	0.701045344
4.18	0.723861642
4.19	0.743821189
4.2	0.760845213
4.21	0.774866529
4.22	0.785829801
4.23	0.793691761
4.24	0.798421383
4.25	0.8
4.26	0.798421383
4.27	0.793691761
4.28	0.785829801
4.29	0.774866529
4.3	0.760845213
4.31	0.743821189
4.32	0.723861642
4.33	0.701045344
4.34	0.67546234
4.35	0.647213595
4.36	0.616410594
4.37	0.583174902
4.38	0.547637685
4.39	0.509939192
4.4	0.470228202
4.41	0.428661436
4.42	0.385402939
4.43	0.340623433
4.44	0.294499642
4.45	0.247213595
4.46	0.19895191
4.47	0.149905052
4.48	0.100266587
4.49	0.050232416
4.5	8.82107E-16
4.51	-0.050232416
4.52	-0.100266587
4.53	-0.149905052
4.54	-0.19895191
4.55	-0.247213595
4.56	-0.294499642
4.57	-0.340623433
4.58	-0.385402939
4.59	-0.428661436
4.6	-0.470228202
4.61	-0.509939192
4.62	-0.547637685
4.63	-0.583174902
4.64	-0.616410594
4.65	-0.647213595
4.66	-0.67546234
4.67	-0.701045344
4.68	-0.723861642
4.69	-0.743821189
4.7	-0.760845213
4.71	-0.774866529
4.72	-0.785829801
4.73	-0.793691761
4.74	-0.798421383
4.75	-0.8
4.76	-0.798421383
4.77	-0.793691761
4.78	-0.785829801
4.79	-0.774866529
4.8	-0.760845213
4.81	-0.743821189
4.82	-0.723861642
4.83	-0.701045344
4.84	-0.67546234
4.85	-0.647213595
4.86	-0.616410594
4.87	-0.583174902
4.88	-0.547637685
4.89	-0.509939192
4.9	-0.470228202
4.91	-0.428661436
4.92	-0.385402939
4.93	-0.340623433
4.94	-0.294499642
4.95	-0.247213595
4.96	-0.19895191
4.97	-0.149905052
4.98	-0.100266587
4.99	-0.050232416
5	-9.80119E-16
5.01	0.050232416
5.02	0.100266587
5.03	0.149905052
5.04	0.19895191
5.05	0.247213595
5.06	0.294499642
5.07	0.340623433
5.08	0.385402939
5.09	0.428661436
5.1	0.470228202
5.11	0.509939192
5.12	0.547637685
5.13	0.583174902
5.14	0.616410594
5.15	0.647213595
5.16	0.67546234
5.17	0.701045344
5.18	0.723861642
5.19	0.743821189
5.2	0.760845213
5.21	0.774866529
5.22	0.785829801
5.23	0.793691761
5.24	0.798421383
5.25	0.8
5.26	0.798421383
5.27	0.793691761
5.28	0.785829801
5.29	0.774866529
5.3	0.760845213
5.31	0.743821189
5.32	0.723861642
5.33	0.701045344
5.34	0.67546234
5.35	0.647213595
5.36	0.616410594
5.37	0.583174902
5.38	0.547637685
5.39	0.509939192
5.4	0.470228202
5.41	0.428661436
5.42	0.385402939
5.43	0.340623433
5.44	0.294499642
5.45	0.247213595
5.46	0.19895191
5.47	0.149905052
5.48	0.100266587
5.49	0.050232416
5.5	3.9203E-15
5.51	-0.050232416
5.52	-0.100266587
5.53	-0.149905052
5.54	-0.19895191
5.55	-0.247213595
5.56	-0.294499642
5.57	-0.340623433
5.58	-0.385402939
5.59	-0.428661436
5.6	-0.470228202
5.61	-0.509939192
5.62	-0.547637685
5.63	-0.583174902
5.64	-0.616410594
5.65	-0.647213595
5.66	-0.67546234
5.67	-0.701045344
5.68	-0.723861642
5.69	-0.743821189
5.7	-0.760845213
5.71	-0.774866529
5.72	-0.785829801
5.73	-0.793691761
5.74	-0.798421383
5.75	-0.8
5.76	-0.798421383
5.77	-0.793691761
5.78	-0.785829801
5.79	-0.774866529
5.8	-0.760845213
5.81	-0.743821189
5.82	-0.723861642
5.83	-0.701045344
5.84	-0.67546234
5.85	-0.647213595
5.86	-0.616410594
5.87	-0.583174902
5.88	-0.547637685
5.89	-0.509939192
5.9	-0.470228202
5.91	-0.428661436
5.92	-0.385402939
5.93	-0.340623433
5.94	-0.294499642
5.95	-0.247213595
5.96	-0.19895191
5.97	-0.149905052
5.98	-0.100266587
5.99	-0.050232416
6	-1.17614E-15
6.01	0.050232416
6.02	0.100266587
6.03	0.149905052
6.04	0.19895191
6.05	0.247213595
6.06	0.294499642
6.07	0.340623433
6.08	0.385402939
6.09	0.428661436
6.1	0.470228202
6.11	0.509939192
6.12	0.547637685
6.13	0.583174902
6.14	0.616410594
6.15	0.647213595
6.16	0.67546234
6.17	0.701045344
6.18	0.723861642
6.19	0.743821189
6.2	0.760845213
6.21	0.774866529
6.22	0.785829801
6.23	0.793691761
6.24	0.798421383
6.25	0.8
6.26	0.798421383
6.27	0.793691761
6.28	0.785829801
6.29	0.774866529
6.3	0.760845213
6.31	0.743821189
6.32	0.723861642
6.33	0.701045344
6.34	0.67546234
6.35	0.647213595
6.36	0.616410594
6.37	0.583174902
6.38	0.547637685
6.39	0.509939192
6.4	0.470228202
6.41	0.428661436
6.42	0.385402939
6.43	0.340623433
6.44	0.294499642
6.45	0.247213595
6.46	0.19895191
6.47	0.149905052
6.48	0.100266587
6.49	0.050232416
6.5	-1.56802E-15
6.51	-0.050232416
6.52	-0.100266587
6.53	-0.149905052
6.54	-0.19895191
6.55	-0.247213595
6.56	-0.294499642
6.57	-0.340623433
6.58	-0.385402939
6.59	-0.428661436
6.6	-0.470228202
6.61	-0.509939192
6.62	-0.547637685
6.63	-0.583174902
6.64	-0.616410594
6.65	-0.647213595
6.66	-0.67546234
6.67	-0.701045344
6.68	-0.723861642
6.69	-0.743821189
6.7	-0.760845213
6.71	-0.774866529
6.72	-0.785829801
6.73	-0.793691761
6.74	-0.798421383
6.75	-0.8
6.76	-0.798421383
6.77	-0.793691761
6.78	-0.785829801
6.79	-0.774866529
6.8	-0.760845213
6.81	-0.743821189
6.82	-0.723861642
6.83	-0.701045344
6.84	-0.67546234
6.85	-0.647213595
6.86	-0.616410594
6.87	-0.583174902
6.88	-0.547637685
6.89	-0.509939192
6.9	-0.470228202
6.91	-0.428661436
6.92	-0.385402939
6.93	-0.340623433
6.94	-0.294499642
6.95	-0.247213595
6.96	-0.19895191
6.97	-0.149905052
6.98	-0.100266587
6.99	-0.050232416
7	-1.37217E-15
7.01	0.050232416
7.02	0.100266587
7.03	0.149905052
7.04	0.19895191
7.05	0.247213595
7.06	0.294499642
7.07	0.340623433
7.08	0.385402939
7.09	0.428661436
7.1	0.470228202
7.11	0.509939192
7.12	0.547637685
7.13	0.583174902
7.14	0.616410594
7.15	0.647213595
7.16	0.67546234
7.17	0.701045344
7.18	0.723861642
7.19	0.743821189
7.2	0.760845213
7.21	0.774866529
7.22	0.785829801
7.23	0.793691761
7.24	0.798421383
7.25	0.8
7.26	0.798421383
7.27	0.793691761
7.28	0.785829801
7.29	0.774866529
7.3	0.760845213
7.31	0.743821189
7.32	0.723861642
7.33	0.701045344
7.34	0.67546234
7.35	0.647213595
7.36	0.616410594
7.37	0.583174902
7.38	0.547637685
7.39	0.509939192
7.4	0.470228202
7.41	0.428661436
7.42	0.385402939
7.43	0.340623433
7.44	0.294499642
7.45	0.247213595
7.46	0.19895191
7.47	0.149905052
7.48	0.100266587
7.49	0.050232416
7.5	4.31235E-15
7.51	-0.050232416
7.52	-0.100266587
7.53	-0.149905052
7.54	-0.19895191
7.55	-0.247213595
7.56	-0.294499642
7.57	-0.340623433
7.58	-0.385402939
7.59	-0.428661436
7.6	-0.470228202
7.61	-0.509939192
7.62	-0.547637685
7.63	-0.583174902
7.64	-0.616410594
7.65	-0.647213595
7.66	-0.67546234
7.67	-0.701045344
7.68	-0.723861642
7.69	-0.743821189
7.7	-0.760845213
7.71	-0.774866529
7.72	-0.785829801
7.73	-0.793691761
7.74	-0.798421383
7.75	-0.8
7.76	-0.798421383
7.77	-0.793691761
7.78	-0.785829801
7.79	-0.774866529
7.8	-0.760845213
7.81	-0.743821189
7.82	-0.723861642
7.83	-0.701045344
7.84	-0.67546234
7.85	-0.647213595
7.86	-0.616410594
7.87	-0.583174902
7.88	-0.547637685
7.89	-0.509939192
7.9	-0.470228202
7.91	-0.428661436
7.92	-0.385402939
7.93	-0.340623433
7.94	-0.294499642
7.95	-0.247213595
7.96	-0.19895191
7.97	-0.149905052
7.98	-0.100266587
7.99	-0.050232416
8	-1.56819E-15
8.01	0.050232416
8.02	0.100266587
8.03	0.149905052
8.04	0.19895191
8.05	0.247213595
8.06	0.294499642
8.07	0.340623433
8.08	0.385402939
8.09	0.428661436
8.1	0.470228202
8.11	0.509939192
8.12	0.547637685
8.13	0.583174902
8.14	0.616410594
8.15	0.647213595
8.16	0.67546234
8.17	0.701045344
8.18	0.723861642
8.19	0.743821189
8.2	0.760845213
8.21	0.774866529
8.22	0.785829801
8.23	0.793691761
8.24	0.798421383
8.25	0.8
8.26	0.798421383
8.27	0.793691761
8.28	0.785829801
8.29	0.774866529
8.3	0.760845213
8.31	0.743821189
8.32	0.723861642
8.33	0.701045344
8.34	0.67546234
8.35	0.647213595
8.36	0.616410594
8.37	0.583174902
8.38	0.547637685
8.39	0.509939192
8.4	0.470228202
8.41	0.428661436
8.42	0.385402939
8.43	0.340623433
8.44	0.294499642
8.45	0.247213595
8.46	0.19895191
8.47	0.149905052
8.48	0.100266587
8.49	0.050232416
8.5	-1.17597E-15
8.51	-0.050232416
8.52	-0.100266587
8.53	-0.149905052
8.54	-0.19895191
8.55	-0.247213595
8.56	-0.294499642
8.57	-0.340623433
8.58	-0.385402939
8.59	-0.428661436
8.6	-0.470228202
8.61	-0.509939192
8.62	-0.547637685
8.63	-0.583174902
8.64	-0.616410594
8.65	-0.647213595
8.66	-0.67546234
8.67	-0.701045344
8.68	-0.723861642
8.69	-0.743821189
8.7	-0.760845213
8.71	-0.774866529
8.72	-0.785829801
8.73	-0.793691761
8.74	-0.798421383
8.75	-0.8
8.76	-0.798421383
8.77	-0.793691761
8.78	-0.785829801
8.79	-0.774866529
8.8	-0.760845213
8.81	-0.743821189
8.82	-0.723861642
8.83	-0.701045344
8.84	-0.67546234
8.85	-0.647213595
8.86	-0.616410594
8.87	-0.583174902
8.88	-0.547637685
8.89	-0.509939192
8.9	-0.470228202
8.91	-0.428661436
8.92	-0.385402939
8.93	-0.340623433
8.94	-0.294499642
8.95	-0.247213595
8.96	-0.19895191
8.97	-0.149905052
8.98	-0.100266587
8.99	-0.050232416
9	-1.76421E-15
9.01	0.050232416
9.02	0.100266587
9.03	0.149905052
9.04	0.19895191
9.05	0.247213595
9.06	0.294499642
9.07	0.340623433
9.08	0.385402939
9.09	0.428661436
9.1	0.470228202
9.11	0.509939192
9.12	0.547637685
9.13	0.583174902
9.14	0.616410594
9.15	0.647213595
9.16	0.67546234
9.17	0.701045344
9.18	0.723861642
9.19	0.743821189
9.2	0.760845213
9.21	0.774866529
9.22	0.785829801
9.23	0.793691761
9.24	0.798421383
9.25	0.8
9.26	0.798421383
9.27	0.793691761
9.28	0.785829801
9.29	0.774866529
9.3	0.760845213
9.31	0.743821189
9.32	0.723861642
9.33	0.701045344
9.34	0.67546234
9.35	0.647213595
9.36	0.616410594
9.37	0.583174902
9.38	0.547637685
9.39	0.509939192
9.4	0.470228202
9.41	0.428661436
9.42	0.385402939
9.43	0.340623433
9.44	0.294499642
9.45	0.247213595
9.46	0.19895191
9.47	0.149905052
9.48	0.100266587
9.49	0.050232416
9.5	4.7044E-15
9.51	-0.050232416
9.52	-0.100266587
9.53	-0.149905052
9.54	-0.19895191
9.55	-0.247213595
9.56	-0.294499642
9.57	-0.340623433
9.58	-0.385402939
9.59	-0.428661436
9.6	-0.470228202
9.61	-0.509939192
9.62	-0.547637685
9.63	-0.583174902
9.64	-0.616410594
9.65	-0.647213595
9.66	-0.67546234
9.67	-0.701045344
9.68	-0.723861642
9.69	-0.743821189
9.7	-0.760845213
9.71	-0.774866529
9.72	-0.785829801
9.73	-0.793691761
9.74	-0.798421383
9.75	-0.8
9.76	-0.798421383
9.77	-0.793691761
9.78	-0.785829801
9.79	-0.774866529
9.8	-0.760845213
9.81	-0.743821189
9.82	-0.723861642
9.83	-0.701045344
9.84	-0.67546234
9.85	-0.647213595
9.86	-0.616410594
9.87	-0.583174902
9.88	-0.547637685
9.89	-0.509939192
9.9	-0.470228202
9.91	-0.428661436
9.92	-0.385402939
9.93	-0.340623433
9.94	-0.294499642
9.95	-0.247213595
9.96	-0.19895191
9.97	-0.149905052
9.98	-0.100266587
9.99	-0.050232416
10	-1.96024E-15
10.01	0.050232416
10.02	0.100266587
10.03	0.149905052
10.04	0.19895191
10.05	0.247213595
10.06	0.294499642
10.07	0.340623433
10.08	0.385402939
10.09	0.428661436
10.1	0.470228202
10.11	0.509939192
10.12	0.547637685
10.13	0.583174902
10.14	0.616410594
10.15	0.647213595
10.16	0.67546234
10.17	0.701045344
10.18	0.723861642
10.19	0.743821189
10.2	0.760845213
10.21	0.774866529
10.22	0.785829801
10.23	0.793691761
10.24	0.798421383
10.25	0.8
10.26	0.798421383
10.27	0.793691761
10.28	0.785829801
10.29	0.774866529
10.3	0.760845213
10.31	0.743821189
10.32	0.723861642
10.33	0.701045344
10.34	0.67546234
10.35	0.647213595
10.36	0.616410594
10.37	0.583174902
10.38	0.547637685
10.39	0.509939192
10.4	0.470228202
10.41	0.428661436
10.42	0.385402939
10.43	0.340623433
10.44	0.294499642
10.45	0.247213595
10.46	0.19895191
10.47	0.149905052
10.48	0.100266587
10.49	0.050232416
10.5	-7.83922E-16
10.51	-0.050232416
10.52	-0.100266587
10.53	-0.149905052
10.54	-0.19895191
10.55	-0.247213595
10.56	-0.294499642
10.57	-0.340623433
10.58	-0.385402939
10.59	-0.428661436
10.6	-0.470228202
10.61	-0.509939192
10.62	-0.547637685
10.63	-0.583174902
10.64	-0.616410594
10.65	-0.647213595
10.66	-0.67546234
10.67	-0.701045344
10.68	-0.723861642
10.69	-0.743821189
10.7	-0.760845213
10.71	-0.774866529
10.72	-0.785829801
10.73	-0.793691761
10.74	-0.798421383
10.75	-0.8
10.76	-0.798421383
10.77	-0.793691761
10.78	-0.785829801
10.79	-0.774866529
10.8	-0.760845213
10.81	-0.743821189
10.82	-0.723861642
10.83	-0.701045344
10.84	-0.67546234
10.85	-0.647213595
10.86	-0.616410594
10.87	-0.583174902
10.88	-0.547637685
10.89	-0.509939192
10.9	-0.470228202
10.91	-0.428661436
10.92	-0.385402939
10.93	-0.340623433
10.94	-0.294499642
10.95	-0.247213595
10.96	-0.19895191
10.97	-0.149905052
10.98	-0.100266587
10.99	-0.050232416
11	-7.8406E-15
11.01	0.050232416
11.02	0.100266587
11.03	0.149905052
11.04	0.19895191
11.05	0.247213595
11.06	0.294499642
11.07	0.340623433
11.08	0.385402939
11.09	0.428661436
11.1	0.470228202
11.11	0.509939192
11.12	0.547637685
11.13	0.583174902
11.14	0.616410594
11.15	0.647213595
11.16	0.67546234
11.17	0.701045344
11.18	0.723861642
11.19	0.743821189
11.2	0.760845213
11.21	0.774866529
11.22	0.785829801
11.23	0.793691761
11.24	0.798421383
11.25	0.8
11.26	0.798421383
11.27	0.793691761
11.28	0.785829801
11.29	0.774866529
